title,notice_id,type,naics_code,set_aside,posted_date,response_deadline,flags,looks_clean,link
"Army Contract Writing System (ACWS) Sustainment, Support, and Enhancement Final Call for Solution (ACWS26-CFS-001)",e3a8162e3ff94041899595ef16c16eb0,Combined Synopsis/Solicitation,541511,No Set aside used,2026-08-07,2026-08-11T12:00:00-05:00,,YES,https://sam.gov/workspace/contract/opp/e3a8162e3ff94041899595ef16c16eb0/view
Revvity Electronic Laboratory Notebook FedRAMP,ceb8ecec9ff048e5919a0746a791074a,Presolicitation,541511,,2026-08-07,2026-08-14T09:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/ceb8ecec9ff048e5919a0746a791074a/view
"DSpace Software Upgrades, Configuration, Maintenance Support at NPS",9a12e1b8263349739a7217c0a203b8b0,Solicitation,541511,Small Business Set Aside - Total,2026-08-07,2026-08-11T16:00:00-07:00,,YES,https://sam.gov/workspace/contract/opp/9a12e1b8263349739a7217c0a203b8b0/view
Senior C++ programmer to modify the COMPASS model ,fc7458b1a98d4cb8825f8e6b431bcca7,Solicitation,541511,Small Business Set Aside - Total,2026-08-06,2026-08-20T15:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/fc7458b1a98d4cb8825f8e6b431bcca7/view
RFI for Virtual Imagery Processing Capability (VIP-C) III Support and Sustainment IDIQ Requirement,c24e331198c8415f81482771eb1ff220,Sources Sought,541511,No Set aside used,2026-08-06,2026-09-08T17:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/c24e331198c8415f81482771eb1ff220/view
ValGenesis Clinical Validation Lifecycle Management Software Licenses and Support Renewal,9477203358fc453690930b9b64b4d6fd,Combined Synopsis/Solicitation,541511,No Set aside used,2026-08-06,2026-08-10T13:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/9477203358fc453690930b9b64b4d6fd/view
Naval Information Warfighting Development Center Electronic Warfare Data IDIQ,5f19141a785f4aa5ac8333533b181be0,Combined Synopsis/Solicitation,541511,Small Business Set Aside - Total,2026-08-06,2026-08-25T10:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/5f19141a785f4aa5ac8333533b181be0/view
"DA01--Software maintenance and support services for existing  MyPath tools in support of VA Puget Sound Healthcare System,  Seattle, WA",4e96b451b8c44bb0bba6f719dd0a4b0f,Combined Synopsis/Solicitation,541511,Small Business Set Aside - Total,2026-08-06,2026-08-20T13:00:00-06:00,,YES,https://sam.gov/workspace/contract/opp/4e96b451b8c44bb0bba6f719dd0a4b0f/view
Joint Targeting Toolbox (JTT) Capabilities Package (CP) Continued Sustainment,3d508c0f37a7445483b16f52d76999bb,Sources Sought,541511,No Set aside used,2026-08-06,2026-09-07T17:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/3d508c0f37a7445483b16f52d76999bb/view
Human Performance and Student Management System (HP-SMS),6718a1c90be94b468df9c8d2c8e92dc7,Sources Sought,541511,No Set aside used,2026-08-05,2026-08-20T14:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/6718a1c90be94b468df9c8d2c8e92dc7/view
Requirement for Terminal Instrument Procedures (TERPS),3533417574274529907f43cc6a6eae64,Combined Synopsis/Solicitation,541511,No Set aside used,2026-08-05,2026-08-25T17:00:00-05:00,,YES,https://sam.gov/workspace/contract/opp/3533417574274529907f43cc6a6eae64/view
Request for Solutions (RFS): Autonomous Coding (AC) and Automated Appeals & Denials Management (ADM),0b3185c8044941b1a91f6c6b9e3f0230,Solicitation,541511,,2026-08-05,2026-08-19T13:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/0b3185c8044941b1a91f6c6b9e3f0230/view
